vcf_header_id,sample_id,line_no,category,id,number,type,description,length,assembly,full_line_text
1,949,1,##fileformat,,,,"VCFv4.1",,,"##fileformat=VCFv4.1"
2,949,2,##INFO,LDAF,1,Float,"MLE Allele Frequency Accounting for LD",,,"##INFO=<ID=LDAF,Number=1,Type=Float,Description=MLE Allele Frequency Accounting for LD>"
3,949,3,##INFO,AVGPOST,1,Float,"Average posterior probability from MaCH/Thunder",,,"##INFO=<ID=AVGPOST,Number=1,Type=Float,Description=Average posterior probability from MaCH/Thunder>"
4,949,4,##INFO,RSQ,1,Float,"Genotype imputation quality from MaCH/Thunder",,,"##INFO=<ID=RSQ,Number=1,Type=Float,Description=Genotype imputation quality from MaCH/Thunder>"
5,949,5,##INFO,ERATE,1,Float,"Per-marker Mutation rate from MaCH/Thunder",,,"##INFO=<ID=ERATE,Number=1,Type=Float,Description=Per-marker Mutation rate from MaCH/Thunder>"
6,949,6,##INFO,THETA,1,Float,"Per-marker Transition rate from MaCH/Thunder",,,"##INFO=<ID=THETA,Number=1,Type=Float,Description=Per-marker Transition rate from MaCH/Thunder>"
7,949,7,##INFO,CIEND,2,Integer,"Confidence interval around END for imprecise variants",,,"##INFO=<ID=CIEND,Number=2,Type=Integer,Description=Confidence interval around END for imprecise variants>"
8,949,8,##INFO,CIPOS,2,Integer,"Confidence interval around POS for imprecise variants",,,"##INFO=<ID=CIPOS,Number=2,Type=Integer,Description=Confidence interval around POS for imprecise variants>"
9,949,9,##INFO,END,1,Integer,"End position of the variant described in this record",,,"##INFO=<ID=END,Number=1,Type=Integer,Description=End position of the variant described in this record>"
10,949,10,##INFO,HOMLEN,.,Integer,"Length of base pair identical micro-homology at event breakpoints",,,"##INFO=<ID=HOMLEN,Number=.,Type=Integer,Description=Length of base pair identical micro-homology at event breakpoints>"
11,949,11,##INFO,HOMSEQ,.,String,"Sequence of base pair identical micro-homology at event breakpoints",,,"##INFO=<ID=HOMSEQ,Number=.,Type=String,Description=Sequence of base pair identical micro-homology at event breakpoints>"
12,949,12,##INFO,SVLEN,1,Integer,"Difference in length between REF and ALT alleles",,,"##INFO=<ID=SVLEN,Number=1,Type=Integer,Description=Difference in length between REF and ALT alleles>"
13,949,13,##INFO,SVTYPE,1,String,"Type of structural variant",,,"##INFO=<ID=SVTYPE,Number=1,Type=String,Description=Type of structural variant>"
14,949,14,##INFO,AC,.,Integer,"Alternate Allele Count",,,"##INFO=<ID=AC,Number=.,Type=Integer,Description=Alternate Allele Count>"
15,949,15,##INFO,AN,1,Integer,"Total Allele Count",,,"##INFO=<ID=AN,Number=1,Type=Integer,Description=Total Allele Count>"
16,949,16,##ALT,DEL,,,"Deletion",,,"##ALT=<ID=DEL,Description=Deletion>"
17,949,17,##FORMAT,GT,1,String,"Genotype",,,"##FORMAT=<ID=GT,Number=1,Type=String,Description=Genotype>"
18,949,18,##FORMAT,DS,1,Float,"Genotype dosage from MaCH/Thunder",,,"##FORMAT=<ID=DS,Number=1,Type=Float,Description=Genotype dosage from MaCH/Thunder>"
19,949,19,##FORMAT,GL,.,Float,"Genotype Likelihoods",,,"##FORMAT=<ID=GL,Number=.,Type=Float,Description=Genotype Likelihoods>"
20,949,20,##INFO,AA,1,String,"Ancestral Allele, ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/pilot_data/technical/reference/ancestral_alignments/README",,,"##INFO=<ID=AA,Number=1,Type=String,Description=Ancestral Allele, ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/pilot_data/technical/reference/ancestral_alignments/README>"
21,949,21,##INFO,AF,1,Float,"Global Allele Frequency based on AC/AN",,,"##INFO=<ID=AF,Number=1,Type=Float,Description=Global Allele Frequency based on AC/AN>"
22,949,22,##INFO,AMR_AF,1,Float,"Allele Frequency for samples from AMR based on AC/AN",,,"##INFO=<ID=AMR_AF,Number=1,Type=Float,Description=Allele Frequency for samples from AMR based on AC/AN>"
23,949,23,##INFO,ASN_AF,1,Float,"Allele Frequency for samples from ASN based on AC/AN",,,"##INFO=<ID=ASN_AF,Number=1,Type=Float,Description=Allele Frequency for samples from ASN based on AC/AN>"
24,949,24,##INFO,AFR_AF,1,Float,"Allele Frequency for samples from AFR based on AC/AN",,,"##INFO=<ID=AFR_AF,Number=1,Type=Float,Description=Allele Frequency for samples from AFR based on AC/AN>"
25,949,25,##INFO,EUR_AF,1,Float,"Allele Frequency for samples from EUR based on AC/AN",,,"##INFO=<ID=EUR_AF,Number=1,Type=Float,Description=Allele Frequency for samples from EUR based on AC/AN>"
26,949,26,##INFO,VT,1,String,"indicates what type of variant the line represents",,,"##INFO=<ID=VT,Number=1,Type=String,Description=indicates what type of variant the line represents>"
27,949,27,##INFO,SNPSOURCE,.,String,"indicates if a snp was called when analysing the low coverage or exome alignment data",,,"##INFO=<ID=SNPSOURCE,Number=.,Type=String,Description=indicates if a snp was called when analysing the low coverage or exome alignment data>"
28,949,28,##reference,,,,"GRCh37",,,"##reference=GRCh37"
